QueryText,KccAns
CHILLI VIRUS DAMAGE,RECOMMENDED TO REMOVE EFFECTED PLANTS & SPRAY ACEPHATE 1.5 GRAM / LITER WATER
brinjal shoot borer,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITERS OF WATER / ACRE
sucking pests management in chilli,sucking pests management in chilli :RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
weather report:,today there is no chance of rainfall in your area
weather report,weather report :  today there is no chance of rain fall in your area
fertilizer management in bottle gourd,32-40 KG N ;32-40 KG P ;16-20 kg K
weather report,no rain your area cloudy weather occur
weather report:,weather report:to day chance to rain in your area
Banana fruit size increasing management,Recommended to spray 13-0-45  1 KG / ACRE IN 200 LT WATER
PADDY WEED MANAGEMENT,RECOMMENDED TO SPRAY PRETILACHLOR 500 - 750 ML /200 LITRES OF WATER  PER ACRE
GROUN NUT THRIPS MANAGEMENT,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
weather report:,weather report:THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,no rain your area cloudy weather occur
ground nut tikka leaf spot,RECOMMENDED TO SPRAY TEBUCONAZOLE 200 ml /200 LITERS OF WATER / ACRE
MANGO  WILT    MANAGEMENT,RECOMMENDED TO DRENCH WITH VCOPPER OXY CHLORIDE 3 GRAM / LITER WATER
RED GRAM POD BORER MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,today there is no chance of rain fall in your area
chilli midge control,RECOMMENDED TO SPRAY TRIZOPHOS 300 ML/200 LITRES OF WATER
BLACK GRAM VARIETIES,"BLACK GRAM VARIETIES
YELLOW MOSAIC VIRUS  RESISTANCE : PU-31 ,LBG-752 ,MBG-702 ,L.BG-787"
MAIZE STEM BORER DAMAGE,RECOMMENDED TO SPRAY  COROJEN 60 MILLI LITER / ACRE
hibiscus sowing time,recommended  sowing time ;February
WEATHER REPORT,today there is no chance of rain fall in your area
SUCKING PEST IN CHILLI,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
weather report,"FOR CYCLONE INFORMATION  CONTACT 08912543031,"
CHILLI FLOWER DROP DAMAGE,RECOMMENDED TO  SPRAY PLANO FIX 5 MILLI LITER / 20 LITER WATER
weather report,weather report : cloudy weather
WEATHER REPORT,TODAY THE RAIN IS NOT LIKELY TO TAKEPLACE IN YOUR AREA
BITTER GUARD CULTURAL PRACTICES,BITTER GUARD CULTURAL PRACTICES : SEED RATE 1 KG PER ACRE
CHILLI FRUIT ROT,Recommended fort spray   PROPICONAZOLE IN 200 LITER WATER
PADDY NURSERY MANAGEMENT,PADDY NURSERY MANAGEMENT : RECOMMENDED TO SPRAY CARBENDAZIM + MANCOZEB 400 GRAM PER ACRE
BENGAL GRAM NUTRIENT MANAGEMENT,BENGAL GRAM NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY 19-19-19 1 KG PER ACRE
CHILLI NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITRES OF WATER /ACRE
COHINOPHORA BLIGHT IN CHILLI,RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITRES OF WATER /ACRE
STEM BORER MANAGEMENT,STEM BORER MANAGEMENT :RECOMMENDED TO SPRAY FLUBENDIAMIDE  40 ML /200 LITERS OF WATER / ACRE
GROUNDNUTLEAF FOLDER DAMAGE,RECOMMENDED TO SPRAY IMA MECTIN BENZOATE 90 GRAM / ACRE
chilli cercospora leaf spot:,chilli cercospora leaf spot:RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   30 GRAM  / 200 LITRES OF WATER /ACRE
LEAF SPOT MANAGEMENT,LEAF SPOT MANAGEMENT : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER /ACRE
black gram  pod borer  management,RECOMMENDED TO SPRAY DICHLORVOS  250 ML / 200 LITERS OF WATER /  ACRE
weather report,no rain
COTTON APHID MANAGEMENT,RECOMMENDED TO SPRAY ULAALA 75 GRAM / ACRE
chilli  coenophora  blight damage,recommended to spray strepto cyclin 1 gram / 10 liter water + copper oxy chloride 30 gram / 10 liter water
anthragnose in blackgram,Recommended fort spray   Copper oxy chloride (BLITOX) 600 GR/ACRE IN 200 LT WATER
TOMATO SUCKING PEST MANAGEMENT:,TOMATO SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY IMIDACLOPRID 100 ML /200 LITRES OF WATER / ACRE
BLACK GRAM GROWTH MANAGEMENT:,BLACK GRAM GROWTH MANAGEMENT: RECOMMENDED 28-28-28 KG/ACRE
Maize stem borer management,RECOMMENDED TO USE CARBOFURAN 3 G 10 KGS/ACRE
WEATHER REPORT,Becoming cloudy
thrips damage on groundnut,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
white fly in chilli,RECOMMENDED TO SPRAY DIFENTHIURON 300 GRAMS/ACRE
pod borer in greengram,RECOMMENDED TO SPRAY CHLORPYRIFOS 500 ML / ACRE IN 200 LITER WATER
fertilizer management in maize,recommended to apply 20kg pottash /acre
weather report,today there is no chance of rain fall in your area
root rot in groundnut,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITERS OF WATER / ACRE
CHILLI POWDERY MILDEW,CHILLI POWDERY MILDEW: RECOMMENDED TO SPRAY DINOCAP 200 ML PER ACRE
paddy stem borer,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
about the veterinary contact number,"recommended to dial 9848063616,9440477240"
nutrient management,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
suitable vegetables growing in rabi season,"suggested crop tomato ,brinjal,cucurbits,bhendi,cluster bean"
poultry farm information,poultry farm information : contact veterinary doctor
PEA NUT STEM ROT,"RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE   
RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITRES OF WATER /ACRE"
brown spot in paddy,recommended to spray hexaconazole+zineb 400-500 gr/acrebrown
root rot in black gram,RECOMMENDED  TO DRENCH  COPPOR OXY CHLORIDE  3 GRAMS / LIT OF WATER
weather report,no rain your area cloudy weather occur
nutrient management in chilli,recommended spray 13;0;45 pottasium nitrate 5gr/lit of water
cotton market rate,"minimum;4498/-,maximum;	5909/- per quintal"
Bengal gram weed management,Bengal gram weed management : recommended for spray propaquizapop 250 ml/ acre
market information,"KURNOOL
adoni minimum 4521 -maximum 6101,average 5527	Rs./Quintal"
paddy leaf spot management,paddy leaf spot management : recommended for spray mancozeb 3 grams/ 1 liter of water
tomato root rot management,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
BLACK GRAM SUCKING PEST,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
weather report,weather report : TODAY RAIN IS NOT OCCUR IN YOUR AREA
brown plant hopper in paddy,RECOMMENDED TO SPRAY BUPROFEZIN    330 ML /200 LITRES OF WATER/ ACRE
WATERMELON LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
weather report,weather report : TODAY RAIN IS NOT OCCUR IN YOUR AREA
WEATHER REPORT,Beautiful with plenty of sunshine
APHID DAMAGE IN GREEN GRAM,RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITERS OF WATER /ACRE
NUTRIENT MANAGEMENT IN BENGAL GRAM,RECOMMENDED TO SPRAY  13-0-45 1 KG/ACRE IN 200 LT WATER
sorghum nutrient management,sorghum nutrient management : recommended to spray agrominmax 1 kg per acre
weather report,Mostly cloudy in your area
WHITE FLIES IN CHILLI,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
PADDY NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY (multi-k) 13-0-45 1KG/ACER
turmeric market information,"turmeric market information :
 Bulb	3580 -	6370/-Rs/qtl	 
Finger	5875	6582/-Rs/qtl"
chilli leaf curl management,RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITERS OF WATER /ACRE
WEATHER REPORT,Beautiful with plenty of sunshine
CUCUMBER VARIETIES,"RECOMMENDED TO SOW RNSM-1  , RNSM-2"
chilli fruit borer management,"RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITERS OF WATER /ACRE  or 
RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITERS OF WATER /ACRE"
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
FRUIT ROT MANAGEMENT,FRUIT ROT MANAGEMENT : RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
WHITE FLIES IN SUN FLOWER,RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
WEATHER REPORT,Mostly sunny and pleasant
banana research station contact number,banana research station contact number 08813â€“231507
mosambi market information,"mosambi market information : Mousambi	650 -	2750/-Rs/qtl"
CHILLI FLOWER DROP MANAGEMENT,recommended to spray napthyl acetic acid   4.5 ml/20 litre
black gram weed management,recommended to spray ajil 250 milli liter / acre
weather report,The rain is not likely to take place in your area
WEATHER REPORT,no rain your area cloudy weather occur
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
black gram management,recommended to spray  multi-k 5 gram / liter water
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT: RECOMMENDED TO SPRAY AZADIRHACHTIN 5 ML / 1 LITRE OF WATER
ground nut market information,"ground nut market information  : 2699 -	5376/-Rs/qtl"
MARKET INFORMATION OF DRY CHILLI,RECOMMENDED TO MARKET INFORMATION OFDRY CHILLI  MINIMUM PRICE -5000/- MAXIMUM PRICE - 15000/-PER QUINTAL
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
PADDY STEM B0RER MANAGEMENT,PADDY STEM B0RER MANAGEMENT : Suggested to spray chlorpyriphos @ 2.5ml/l or cartap hydrochloride @ 2 g/l of water or application of carbofuron 3G granules @ 10 kg/ac or 4G cartaphydrochloride @ 8 kg/acere at the time of panicle initiation stage.
LEAF SPOTS IN RADISH,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITRES OF WATER / ACRE
WEATHER REPORT,Mostly cloudy in your area
WEATHER REPORT,WEATHER REPORT : TODAY RAIN IS NOT OCCUR IN YOUR AREA
fertilizer management in paddy,recommended  apply 29 kg MOP
GOAT FARM,GOAT FARM: CONTACT  YOUR MANADL VETRNARY OFFICER
WEATHER REPORT,WEATHER REPORT : TODAY RAIN IS NOT OCCUR IN YOUR AREA
CHILLI BACTERIAL LEAF BLIGHT,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
black gram leaf eating caterpillar,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
FRUIT BORER IN BRINJAL,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
MANAGEMENT OF BLACK GRAM WHITE FLY,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
APHIDS IN MANGO,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
bactrial leaf spot in chilli,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
BLACKGRAM SEED TREATMENT,RECOMMENDED TO SEED TREATMENT  CAPTAN    ( OR ) THIRAM  ( OR ) MANCOZEB 3 GRAMS / KG OF SEEDS
weather report,weather report : TODAY RAIN IS NOT OCCUR IN YOUR AREA
MARKET PRICE OF ONION,"MARKET PRICE OF ONION
MINIMUM PRICE-400/,MAXIMUM PRICE-1000/,MODEL PRICE-800/QUINTAL"
post emergence weed managment in maize,"post emergence weed managment in maize :  
RECOMMENDED TO SPRAY ATRAZINE 800 GRAMS PER ACRE"
weather report,Mostly cloudy in your area
weed management,suggested to manual weeding
weather report,today there is no chance of rain fall in your area
weather report,today there is no chance of rain fall in your area
WEATHER REPORT,Beautiful with plenty of sunshine
WEATHER REPORT,NO RAIN AND CLOUDY WEATHER
MANGO NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
weather report,no rain your area cloudy weather occur
ridge gourd varieties,"RIDGE GOURD VARIETIES: JAIPUR LONG, JAGITHYAL LONG,ARKA SUJATHA, ARKA SUMITH, SUREKHA, SANJEEVANI, NAAGA, MALLIKA, LATHIKA ,ARJUN ARE SUITABLE."
black gram weed management,black gram weed management : recommended for spray propaquizapop 250 ml/ acre
ground nut aphid damage,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
nutrient management,RECOMMENDED TO SPRAY NAPTHALENE ACITIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
ground nut helicoverpa leaf damage,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
COTTON SUCKING PEST CONTROL,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
BORAN DEF IN MUSK MEALON,RECOMMENDED TO SPRAY OF BORAX 1-1.5 GRAMS PER LITRE
cashew nut blight management,RECOMMENDED TO SPRAY CARBENDAZIM 1gm / lit
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
SEASON FOR SOWING BLACK GRAM,SEASON FOR SOWING BLACK GRAM FEBRUARY TO MARCH
paddy bph management,recommended to spray  applaud 330 milli liter / acre
MANAGEMENT OF BENGAL GRAM POD BORER,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
weather report,today rain is not likely to occur in your area
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITERS OF WATER /ACRE
weather  report,no rain your area cloudy weather occur
GROUND NUT SUCKING PEST,RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
paddy stem borer damage,recommended to apply carbofuran 3g 10kg/acre
chilli fruit rot,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
weather report,today rain is not likely to occur in your area
weather report,The rain is not likely to take place in your area
weather report,FOR CYCLONE INFORMATION  CONTACT 04027908506
powdery mildew in black gram,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
ABOUT THE CONTACT NUMBER OF CUDDAPAH HORTICULTURE DEPARTMENT NUMBER,FOR MORE INFORMATION ABOUT HRTICULTURE SCHEMES PLEASE DIAL 7995086785
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
nutrient management in bengalgram,recommended to spray 13;0;45 pottasium nitrate multi-k 5gr/lit of water
WEATHER REPORT,WEATHER REPORT : TODAY RAIN IS NOT OCCUR IN YOUR AREA
rice blast,recommended for spray trycyclozol + mancozeb (merger) 2 grams/ 1 liter of water
cucumber,"Pumpkin	 variety;APR â€“ 1"
paddy yellow stem borer control,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
weather report,weather report;no rain your area cloudy weather occur
watermelon seed rate,watermelon seed rate: 500-600 g per acre
WEATHER REPORT IN VINJAMUR,WEATHER REPORT IN VINJAMUR : Mostly cloudy in your area
GOVERNMENT SCHEMES,KISAN SUVIDHA APP AND APAGMARK
CHILLY LEAF SPOT MANAGEMENT,CHILLY LEAF SPOT MANAGEMENT : RECOMMENDED FOR SPRAY SAFF2 GRAMS/ 1 LITER OF WATER
BLACK GRAM SUCKING PEST MANAGEMENT,BLACK GRAM SUCKING PEST MANAGEMENT: RECOMMENDED FOR SPRAY NEEM OIL 5 ML+ ACEPHATE 1.5 GRAMS/ 1 LITER OF WATER
GREENGRAM WEED MANAGEMENT,GREENGRAM WEED MANAGEMENT: RECOMMENDED TO SPRAY PENDIMETHALIN 1-1.25 LITRE/ACRE
chilly varieties,"RECOMMENDED FOR CHILLY VARIETIES LCA-960(SINDHOOR), LCA-1068(APARNA), LCA-235(BHASKER),LCA-206 (PRAKASH),LCA-200(KIRAN) ARE SUITABLE"
sucking pests management in brinjal,sucking pests management in brinjal :RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
CATERPILLAR DAMAGE IN BLACK GRAM,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITERS OF WATER / ACRE
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
TOBACCO CATERPILLERS IN GROUNDNUT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
GROUND NUT TOBACCO CATERPILLAR MANAGEMENT,GROUND NUT TOBACCO CATERPILLAR MANAGEMENT :  RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
BENGAL GRAM NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 1 KG/ACRE IN 200 LT WATER
wilt in maize,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600 GRAMS PER ACRE
WEATHER REPORT,WEATHER REPORT : today there is no chance of rainfall in your area
WATERMELON SUCKING PEST MANAGEMENT,WATERMELON SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
BLACK GRAM PLANT GROWTH,BLACK GRAM PLANT GROWTH :RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE  5 GRAMS/1 LITRE OF WATER
BENGALGRAM TOBACCO CATERPILLER CONTROL,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
WEATHER REPORT,The rain is not likely to take place in your area
black gram rust management,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
virus in black grams,RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITRES OF WATER /ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,WEATHER REPORT : today there is no chance of rainfall in your area
management of chilli virus,RECOMMENDED TO SPRAY SPIROMESIFEN  200ML /200 LITRES OF WATER /ACRE
chillipowdery mildew management,chillipowdery mildew management ;RECOMMENDED TO SPRAY  WATER SOLUBLE SULPHUR 600 GRAMS/200 LITRES OF WATER / ACRE
paddy bacterial leaf spot,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500 GRAMS / 200 LITERS OF WATER /ACRE
FLOWER DROP IN MANGO,recommended to spray napthyl acetic acid 4.5 ml/20 litre
chilly powdery mildew management,chilly powdery mildew management : recommended to spray myclobutanil 200 ml per acre
WHITE FLIES IN GREEN GRAM,"RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITERS OF WATER / ACRE      
  Recommended to spray   multi-k ( 13-0-45 ) 5gm   AND  MICRO NUTRIENT MIXTURE 5gm / lit of water"
WEATHER REPORT,WEATHER REPORT:  Today there is no chance of rainfall in your area
COTTON VARITIES,"COTTON VARITIES;NARASIMHA,KANCHANA,PRIYA,RAGHAVENDRA
SUNFLOWER VARITIES;K.B.S.H-1,K.B.S.H-44"
CHILLI LEAFSPOT,CHILLI LEAFSPOT: RECOMMENDED TO SPRAY CARBENDAZIM 200 GRAM PER ACRE
ground nut weed management,ground nut weed management :not recommended
weather report,TODAY THE RAIN IS NOT LIKELY TO TAKEPLACE IN YOUR AREA
black  gram  sucking pest management,recommended to spray imida chloprid  0.3 milli liter / liter water
weather repoprt:,weather repoprt: no rain your area cloudy weather occur
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
paddy market information,paddy market information : 1600 -1700 /-RS/qtl
WATERMELON VARIETIES,"WATERMELON VARIETIES : ASAHI YAMATA, SUGAR BABY, ARKA JYOTHI, ARKA MAINK, DURGAPUR KESAR, DURGAPUR META ARE SUITABLE AND Informed that watermelon can be sown from Dec 2nd week to Jan first week. Also Advised to follow 2-2. 5 m x 30-50 cm spacing with irrigation canal of 60cm."
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE 2 ML/ 1 LITRE OF WATER
FRENCHBEAN SOWING TIME,FRENCHBEAN SOWING TIME;FEBRUARY TO MARCH-SUMMER CROP
CHILLI ROOT ROT CONTROL,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
maize stem borer,RECOMMENDED TO SPRAY CHLORANTRANILIPROLE 60 ML/200 LITRES OF WATER / ACRE
sesame weed management,RECOMMENDED TO SPRAY PROPAQUIZAFOP 250 ML/200 LITRES OF WATER /ACRE
GROUNDNUT THIKKA LEAF SPOT,RECOMMENDED TO SPRAY HEXACONAZOLE 400 MILLI LITER / ACRE
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
PADDY STEM BORER DAMAGE,RECOMMENDED TO SPRAY MONOCHROTOPHOS 1.6 MILLI LITER / LITER WATER
chilly bacterial leaf spot management,RECOMMENDED  TO SPRAY COPPOR OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER
bacterial leaf blight in paddy,RECOMMENDED TO SPRAY TRICYCLAZOLE + MANCOZEB  400 GRAMS/200 LITRES OF WATER /ACRE
BLACK GRAM WHITE FLY,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
groundnut sucking pest management,groundnut sucking pest management : recommended for spray imidachlopride 60 ml/acre
weather report,no rain your area cloudy weather occur
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
SUCKING PEST MANAGEMENT:,RECOMMENDED TO SPRAY DIMETHOATE  2 ML /1 LITRE OF WATER
weather report,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
Bengal gram iron deficiency management,Bengal gram iron deficiency management : recommended for spray ferrous sulphate 20 grams + lemon salt 2 grams/ 1 liter of water
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
BOTTLE GOURD NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 KG/ACRE
bengal gram root rot,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
weather information,weather information : cool weather
BRINJAL SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY PIPRONIL 400 MILLI LITER / ACRE
WEATHER REPORT,today there is no chance of rain fall in your area
PADDY BLAST,RECOMMENDED TO SPRAY TRICYCLAZOL  120 GM /200 LITRES OF WATER / ACRE
fertilizer management in brinjal,RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE  5 GRAMS/1 LITRE OF WATER
sucking pests management in blackgram,sucking pests management in blackgram : RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITERS OF WATER /ACRE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
POWDERY MILDEW MANAGEMENT,POWDERY MILDEW MANAGEMENT : RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
weather report,no rain your area cloudy weather occur
PADDY MARKET INFORMATION,"MINIMUM PRICE -2400/- Rs/ QUINTAL  
MAXIMUM PRICE -2500 /- Rs/ QUINTAL"
WHITEFLY CONTROL IN CHILLI,RECOMMANDED TO USE YELLOW STICY TRAPS
MAIZE STEM BORER,MAIZE STEM BORER : Spray monocrotpphos @ 1.6ml/l or quinalphos @ 2 ml/l twice at weekly intervals and application of carbofuron 3G granules @ 3-4 kg/ac as leafwhorl application
PADDY ZINC DEFICIENCY MANAGEMENT,PADDY ZINC DEFICIENCY MANAGEMENT : RECOMMENDED FOR SPRAY ZINC SULPHATE 2 GRAMS/1 LITER OF WATER
BRINJAL SHOOT AND FRUIT BORER MANAGEMENT,BRINJAL SHOOT AND FRUIT BORER MANAGEMENT : RECOMMENDED FOR SPRAY PROFINOPHOS 2 ML/ 1 LITER OF WATER
red gram market rate,"red gram market rate minimum 5400	maximum 5600"
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilly thrips management,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
WEATHER REPORT,Nice with plenty of sunshine
WEATHER REPORT,WEATHER REPORT ;:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilly virus diseases management,"Informed that viral disease has no chemical control. Suggested to apply carbofuran or fipronil granules 6-8kg per acre to control vectors like aphids, thrips etc that transmit the disease. Spray dimethoate @ 2ml/l or acephate @ 1.5g/l of water to control the vector"
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilli cercospora leaf spot,RECOMMENDED TO SPRAY CHLOROTHALANIL  400 GRAMS PER ACRE
CHILLI LEAF SPOT CONTROL,RECOMMENDED TO USE Copper Oxy Chloride 600 GR/ACRE IN 200 LT WATER
ONGOLE BLACK GRAM MARKET RATE,"ONGOLE BLACK GRAM MARKET RATE : 11/01/2017	
MINIMUM = 6100	MAXIMUM = 6200	AVERAGE = 6150 RS / QUINTAL"
black gram leaf damage,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITERS OF WATER / ACRE
WEATHER REPORT,Nice with plenty of sunshine
varieties of groundnut,"varieties of groundnut
vemana ,kaala haasthi,j.l-24,thirupathi-4"
chilly powdery mildew management,"Recommended to Spray wettable sulphur @ 3g/l or
kerathane @ 1ml/l of water."
GREEN GRAM POWDERY MILDEW MANAGEMENT,RECOMMENDED TO SPRAY DINOCAP 400 ML PER ACRE
weather report,no rain your area cloudy weather occur
"Cercospora leaf
spotin chilli",Spray mancozeb @ 2.5g/l or carbendazim 1 gram litter water
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
weather report,"WEATHER INFORMATION : DRY WEATHER , LESS CHANCE OF RAIN IN YOUR AREA"
MANGO LEAF WEBBER MANAGEMENT,MANGO LEAF WEBBER MANAGEMENT : RECOMMENDED TO SPRAY LAMBDA CYHALOTHRIN 400 ML /200 LITRES OF WATER /  ACRE
